date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:58	57020/57020	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2019%20May%202018%2009:14:04%20GMT	http://webable.digital/career/	C:/My%20Web%20Sites/Webable%20clone/webable.digital/career/index.html	(from http://webable.digital/)
15:13:58	19238/19238	U-----	200	untouched ('')	image/png	etag:%22eba8011-4b26-54d05c744b62c%22	http://webable.digital/wp-content/themes/webable/assets/images/webable-logo.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/images/webable-logo.png	(from http://webable.digital/)
15:13:58	26064/26064	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2019%20May%202018%2009:14:05%20GMT	http://webable.digital/contact/	C:/My%20Web%20Sites/Webable%20clone/webable.digital/contact/index.html	(from http://webable.digital/)
15:13:58	11084/11084	U-----	200	untouched ('')	application/javascript	etag:W/%225a962f20-2b4c%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	C:/My%20Web%20Sites/Webable%20clone/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	(from http://webable.digital/)
15:13:59	9274/9274	U-----	200	untouched ('')	image/png	etag:%22dcc5215-243a-54f7912e50f85%22	http://webable.digital/wp-content/plugins/formcraft3/assets/images/star.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/images/star.png	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
15:13:59	1429/1429	U-----	200	untouched ('')	image/png	etag:%22dcc51e8-595-54f7912e40357%22	http://webable.digital/wp-content/plugins/formcraft3/assets/images/select-icon.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/images/select-icon.png	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
15:13:59	1608/1608	U-----	200	untouched ('')	image/png	etag:%22dcc5217-648-54f7912e51a84%22	http://webable.digital/wp-content/plugins/formcraft3/assets/images/email-icon.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/images/email-icon.png	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
15:13:59	38540/38540	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22dcc5195-968c-54f7912e169b4%22	http://webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc.eot?61304469	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc3003.eot	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
15:13:59	23380/23380	U-----	200	untouched ('')	application/x-font-woff	etag:%22dcc519d-5b54-54f7912e18353%22	http://webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc.woff?61304469	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc3003.woff	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
15:14:03	38396/38396	U-----	200	untouched ('')	text/plain	etag:%22dcc5199-95fc-54f7912e176dd%22	http://webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc.ttf?61304469	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc3003.ttf	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
