date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:45	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:39:52%20GMT	http://webable.digital/contact/linkid.js	C:/My%20Web%20Sites/Webable%20clone/webable.digital/contact/linkid.html	(from http://webable.digital/contact/)
15:39:45	2293/2293	U--MC-	200	updated ('OK')	text/xml	date:Sat,%2019%20May%202018%2009:39:49%20GMT	http://webable.digital/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwebable.digital%2Fcareer%2F&format=xml	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/oembed/1.0/embedd8c9	(from http://webable.digital/career/)
15:39:45	62504/62504	U-----	200	untouched ('')	text/plain	etag:%222a2faf8-f428-54aaee1caedf7%22	http://webable.digital/wp-content/themes/webable/assets/fonts/Museo%20Sans/MuseoSans500.otf	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/fonts/Museo%20Sans/MuseoSans500.otf	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:45	62924/62924	U-----	200	untouched ('')	text/plain	etag:%222a2fafa-f5cc-54aaee1cb3fec%22	http://webable.digital/wp-content/themes/webable/assets/fonts/Museo%20Sans/MuseoSans.otf	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/fonts/Museo%20Sans/MuseoSans.otf	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:45	2201/2201	U--MC-	200	updated ('OK')	application/json	date:Sat,%2019%20May%202018%2009:39:52%20GMT	http://webable.digital/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwebable.digital%2Fcontact%2F	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/oembed/1.0/embed62eb.json	(from http://webable.digital/contact/)
15:39:45	65240/65240	U-----	200	untouched ('')	text/plain	etag:%222a2faf5-fed8-54aaee1cad940%22	http://webable.digital/wp-content/themes/webable/assets/fonts/Museo%20Sans/MuseoSans900.otf	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/fonts/Museo%20Sans/MuseoSans900.otf	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:45	2298/2298	U--MC-	200	updated ('OK')	text/xml	date:Sat,%2019%20May%202018%2009:39:52%20GMT	http://webable.digital/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwebable.digital%2Fcontact%2F&format=xml	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/oembed/1.0/embed0ec3	(from http://webable.digital/contact/)
15:39:45	464/464	U-----	200	untouched ('')	image/png	etag:%221f281f1-1d0-5175c0d3bb480%22	http://webable.digital/images/WebAble-Logo.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/images/WebAble-Logo.png	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:46	390113/390113	U-----	200	untouched ('')	image/jpeg	etag:%22ddbe89c-5f3e1-54aaee08a6fc5%22	http://webable.digital/wp-content/themes/webable/assets/images/contact-pic.jpg	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/images/contact-pic.jpg	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:46	229857/229857	U-----	200	untouched ('')	image/jpeg	etag:%229345c10-381e1-567bde1b88740%22	http://webable.digital/wp-content/themes/webable/assets/images/career.jpg	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/images/career.jpg	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:46	236561/236561	U-----	200	untouched ('')	image/jpeg	etag:%22d33617f-39c11-567c173573f40%22	http://webable.digital/wp-content/themes/webable/assets/images/about-hero.jpg	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/images/about-hero.jpg	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:46	9247/9247	U-----	200	untouched ('')	image/png	etag:%22b2299473f5628502c981b5a381307646%22	http://i.imgur.com/iMcwfhj.png	C:/My%20Web%20Sites/Webable%20clone/i.imgur.com/iMcwfhj.png	(from http://webable.digital/wp-content/themes/webable/assets/css/main.css?ver=4.7.10)
15:39:46	76623/76623	U-----	200	untouched ('')	image/jpeg	etag:%222cbe001-12b4f-56461a0510ff0%22	http://webable.digital/wp-content/uploads/2018/02/GVQgmQSaS9O4vIoh3caViQ_thumb_19ac-e1517745340595.jpg	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/uploads/2018/02/GVQgmQSaS9O4vIoh3caViQ_thumb_19ac-e1517745340595.jpg	(from http://webable.digital/case-studies/)
15:39:47	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:54%20GMT	http://webable.digital/case-studies/%e2%80%9c//js.hs-scripts.com/504002.js%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/case-studies/%e2%80%9c/js.hs-scripts.com/504002.js%e2%80%9d	(from http://webable.digital/case-studies/)
15:39:47	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:54%20GMT	http://webable.digital/case-studies/%e2%80%9dhttp://webable.digital/%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/case-studies/%e2%80%9dhttp_/webable.digital/%e2%80%9d	(from http://webable.digital/case-studies/)
15:39:47	56716/56716	U-----	200	untouched ('')	image/jpeg	etag:%2269373e5-dd8c-56427851376da%22	http://webable.digital/wp-content/uploads/2018/02/27591790_10215650196311387_1626786375_n.jpg	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/uploads/2018/02/27591790_10215650196311387_1626786375_n.jpg	(from http://webable.digital/case-studies/)
15:39:47	14693/14693	U-----	200	untouched ('')	application/rss+xml	etag:%22b76e0215c5be8374069bfc72da3f4e64%22	http://webable.digital/case-studies/feed/	C:/My%20Web%20Sites/Webable%20clone/webable.digital/case-studies/feed/index.html	(from http://webable.digital/case-studies/)
15:39:47	31787/31787	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2019%20May%202018%2009:39:55%20GMT	http://webable.digital/case-studies/volunteer-for-bangladesh/	C:/My%20Web%20Sites/Webable%20clone/webable.digital/case-studies/volunteer-for-bangladesh/index.html	(from http://webable.digital/case-studies/)
15:39:47	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:39:55%20GMT	http://webable.digital/case-studies/linkid.js	C:/My%20Web%20Sites/Webable%20clone/webable.digital/case-studies/linkid.html	(from http://webable.digital/case-studies/)
